name,sex,RUID,date_of_birth,student_year,student_school,accessibility_need,low_income_status,preferred_hall_ids,preferred_residence_type,preferred_price_range,max_price,roommate_preferences,weights,lottery_number,assigned
Vanessa Carrillo,F,110322866,2002-11-26,Freshman,School of Arts and Sciences,1,1,['TS' 'MZH' 'RA'],Traditional Residence Hall,6000-8000,7000,"[114942167, 594262393]",35,468,0
Lisa Cox,F,421462888,2005-03-29,Freshman,School of Social Work,1,1,['BS' 'SA' 'RA'],Suite,4000-6000,5000,"[122082784, 316541638]",35,2277,0
Diane Mcguire,F,632997885,2004-11-17,Freshman,School of Communication and Information,1,1,['RA' 'SA' 'MZH'],Suite,6000-8000,7000,[],35,2353,0
James Martin,M,692225359,2000-05-24,Freshman,School of Arts and Sciences,1,1,['MRS' 'SA' 'BS'],Suite,4000-6000,5000,"[494246013, 344112668]",35,2795,0
Bradley Peck,M,158185009,2002-01-07,Freshman,Mason Gross School of the Arts,1,1,['BS' 'RA' 'WS'],Apartment,4000-6000,5000,"[536413979, 843673543]",35,3044,0
Jared George,M,728344198,2005-01-07,Freshman,School of Arts and Sciences,1,1,['BS' 'NCA' 'BH'],Suite,4000-6000,5000,[224744243],35,3092,0
Sherri Smith,F,551852886,2002-03-17,Freshman,Mason Gross School of the Arts,1,1,['SA' 'MS' 'RA'],Suite,8000-11000,10000,"[480711494, 552247231]",35,3931,0
Russell Floyd,M,117525509,2004-01-02,Freshman,School of Arts and Sciences,1,1,['JS' 'MS' 'NCA'],Suite,8000-11000,10000,[955956086],35,4377,0
Madeline Camacho,F,366261417,2003-01-22,Freshman,School of Management and Labor Relations,1,1,['BS' 'CS' 'MZH'],Apartment,6000-8000,7000,[],35,5505,0
Patricia Barnes,F,610183216,1999-11-23,Freshman,School of Social Work,1,1,['NCA' 'JS' 'RA'],Apartment,4000-6000,5000,"[537527945, 803087284]",35,5762,0
Jennifer Miller,F,636628235,2005-03-20,Freshman,School of Arts and Sciences,1,1,['BH' 'SA' 'MRS'],Suite,8000-11000,10000,[196779893],35,5921,0
Courtney Bradley,F,110826757,2002-04-09,Freshman,School of Communication and Information,1,1,['SA' 'MRS' 'MS'],Suite,6000-8000,7000,"[215309780, 998514031]",35,5943,0
Erin Gomez,F,879220507,2002-07-11,Freshman,School of Arts and Sciences,1,1,['JS' 'BS' 'RA'],Apartment,4000-6000,5000,[169148275],35,5948,0
Patricia Lee,F,795454595,2004-12-16,Freshman,School of Arts and Sciences,1,1,['NCA' 'BS' 'JS'],Suite,4000-6000,5000,"[555016423, 154722229]",35,6154,0
John Fernandez,M,947968802,2003-03-14,Freshman,Mason Gross School of the Arts,1,1,['SA' 'AH' 'BS'],Suite,8000-11000,10000,"[720354579, 449155344]",35,9679,0
Sara Kelley,F,355414944,2002-04-26,Freshman,School of Arts and Sciences,1,1,['BH' 'BS' 'JS'],Apartment,6000-8000,7000,[313477735],35,10891,0
Jon Johnson,M,322562737,2002-11-03,Freshman,School of Communication and Information,1,1,['MS' 'JS' 'RA'],Suite,6000-8000,7000,"[887716940, 106780436]",35,11110,0
Thomas Daniels,M,515074443,1999-11-08,Freshman,School of Communication and Information,1,1,['SA' 'NCA' 'BS'],Suite,4000-6000,5000,"[764785350, 322786474]",35,11671,0
Lisa Walker,F,831510499,2002-11-16,Freshman,School of Arts and Sciences,1,1,['SA' 'BS' 'WS'],Suite,6000-8000,7000,"[687063688, 470088393]",35,13628,0
Amy Andrews,F,170008579,2003-01-20,Freshman,School of Environmental and Biological Sciences,1,1,['BS' 'SA' 'NCA'],Apartment,8000-11000,10000,[],35,13737,0
Paula Hernandez DDS,F,913922528,2003-03-14,Freshman,School of Arts and Sciences,1,1,['WS' 'NCA' 'RA'],Suite,4000-6000,5000,[462024274],35,14679,0
Mason Carter,M,975350048,2001-08-22,Freshman,School of Arts and Sciences,1,1,['MS' 'RA' 'BS'],Apartment,8000-11000,10000,"[748396203, 946717419]",35,14687,0
Rebecca Nguyen,F,112859131,2000-03-27,Freshman,School of Management and Labor Relations,1,1,['NCA' 'BS' 'BH'],Suite,8000-11000,10000,[487325596],35,14964,0
Timothy Moore,M,771865686,2002-03-23,Freshman,School of Communication and Information,1,1,['WS' 'AH' 'BS'],Suite,6000-8000,7000,"[235442758, 366536272]",35,16616,0
Jason Robinson,M,655511745,2000-06-08,Freshman,Rutgers Business School–Newark and New Brunswick,1,1,['MH' 'NCA' 'MZH'],Traditional Residence Hall,4000-6000,5000,[845452233],35,16876,0
Savannah Fitzgerald,F,923666995,2003-11-29,Freshman,School of Arts and Sciences,1,1,['RA' 'SA' 'MH'],Suite,6000-8000,7000,"[291227259, 867086657]",35,17165,0
Alyssa Harper,F,105741775,2003-06-18,Freshman,Mason Gross School of the Arts,1,1,['RA' 'SA' 'BS'],Apartment,4000-6000,5000,[522213041],35,20201,0
Amy Gray,F,500676165,2002-09-21,Freshman,School of Arts and Sciences,1,1,['AH' 'SA' 'BS'],Traditional Residence Hall,4000-6000,5000,"[892853148, 555117496]",35,20259,0
Heather Greene,F,910602632,2002-10-23,Freshman,School of Communication and Information,1,1,['MZH' 'AH' 'BS'],Suite,8000-11000,10000,[],35,20733,0
Elizabeth Crawford,F,992416681,2000-05-26,Freshman,School of Arts and Sciences,1,1,['TS' 'RA' 'NCA'],Suite,4000-6000,5000,"[231932467, 498336087]",35,20994,0
Colton Orr,M,765060458,2001-01-11,Freshman,School of Communication and Information,1,1,['CS' 'MZH' 'TS'],Suite,8000-11000,10000,"[140832173, 753403239]",35,21105,0
Alexander Mooney,M,173819064,2001-10-01,Freshman,School of Management and Labor Relations,1,1,['WS' 'MS' 'NCA'],Apartment,4000-6000,5000,"[841841635, 583295035]",35,21145,0
Angela Hill,F,117719443,2002-01-18,Freshman,School of Arts and Sciences,1,1,['MS' 'RA' 'MZH'],Traditional Residence Hall,4000-6000,5000,[],35,21519,0
Casey Moore,F,183262783,2004-09-22,Freshman,School of Social Work,1,1,['SA' 'BS' 'JS'],Apartment,4000-6000,5000,"[366749696, 327683351]",35,22387,0
Lauren Miller,F,269968504,2003-07-27,Freshman,School of Arts and Sciences,1,1,['TS' 'WS' 'BS'],Apartment,8000-11000,10000,"[429623275, 736088677]",35,22973,0
Olivia Butler,F,192629323,2000-09-16,Freshman,Rutgers Business School–Newark and New Brunswick,1,1,['BS' 'NCA' 'BH'],Apartment,8000-11000,10000,[135842891],35,23280,0
Julia Williams,F,219170583,2001-05-20,Freshman,School of Environmental and Biological Sciences,1,1,['BS' 'SA' 'JS'],Suite,6000-8000,7000,"[318471971, 256769107]",35,23544,0
Ellen Newton,F,436117745,2001-04-20,Freshman,School of Arts and Sciences,1,1,['BS' 'NCA' 'MZH'],Apartment,4000-6000,5000,"[286763636, 117749596]",35,24292,0
Stacey Reid,F,895557022,2004-06-09,Freshman,Rutgers Business School–Newark and New Brunswick,1,1,['TS' 'BS' 'JS'],Traditional Residence Hall,8000-11000,10000,[],35,24292,0
William Nelson,M,934961164,2004-01-12,Freshman,School of Arts and Sciences,1,1,['NCA' 'AH' 'MRS'],Apartment,4000-6000,5000,[500248201],35,25451,0
Darren Davis,M,386962291,2002-08-21,Freshman,School of Arts and Sciences,1,1,['BS' 'WS' 'NCA'],Suite,8000-11000,10000,"[285634028, 759734771]",35,25508,0
Shelly Miller,F,215980676,2001-04-15,Freshman,School of Social Work,1,1,['NCA' 'BS' 'MH'],Traditional Residence Hall,4000-6000,5000,[978217050],35,25570,0
Dana Newton,F,157740697,2000-11-15,Freshman,School of Arts and Sciences,1,1,['NCA' 'MH' 'CS'],Traditional Residence Hall,4000-6000,5000,[968624638],35,25815,0
Carol Brown,F,719631263,2005-07-14,Freshman,School of Arts and Sciences,1,1,['SA' 'NCA' 'CS'],Apartment,4000-6000,5000,"[498712421, 808006713]",35,26686,0
Holly Rowe,F,407989608,2002-12-17,Freshman,School of Management and Labor Relations,1,1,['SA' 'MS' 'MZH'],Apartment,4000-6000,5000,"[466688989, 918585317]",35,27237,0
Benjamin Palmer,M,499489169,2005-06-07,Freshman,School of Arts and Sciences,1,1,['BS' 'NCA' 'MZH'],Suite,8000-11000,10000,"[969032341, 355178077]",35,27761,0
Jessica Newton,F,873591164,2001-04-28,Freshman,School of Environmental and Biological Sciences,1,1,['RA' 'NCA' 'JS'],Apartment,8000-11000,10000,"[948238483, 668497217]",35,29233,0
Teresa Hood,F,131125423,2005-08-07,Freshman,Mason Gross School of the Arts,1,1,['AH' 'RA' 'NCA'],Suite,8000-11000,10000,"[183534535, 542509172]",35,29747,0
Alexandra Davis,F,222891387,2001-03-07,Freshman,School of Engineering,1,1,['MZH' 'SA' 'MS'],Suite,8000-11000,10000,"[314555543, 939163899]",35,30504,0
Craig Hernandez,M,172429847,2001-11-20,Freshman,School of Arts and Sciences,1,1,['BH' 'NCA' 'MS'],Suite,8000-11000,10000,[],35,30990,0
Brian Hoffman DDS,M,881126715,2004-04-12,Freshman,Mason Gross School of the Arts,1,1,['MZH' 'NCA' 'SA'],Suite,4000-6000,5000,"[969925990, 304214077]",35,31782,0
Eric Newton,M,370808798,2001-08-20,Freshman,School of Arts and Sciences,1,1,['SA' 'CS' 'BS'],Suite,4000-6000,5000,[573698372],35,33547,0
Rhonda Garcia,F,140003907,2003-08-24,Freshman,School of Arts and Sciences,1,1,['SA' 'NCA' 'BS'],Suite,6000-8000,7000,"[965800237, 315594960]",35,33667,0
Jennifer Moody,F,729888000,2002-11-04,Freshman,School of Engineering,1,1,['SA' 'MH' 'BS'],Traditional Residence Hall,4000-6000,5000,[691915334],35,35682,0
April Stephens,F,846597440,2001-02-04,Freshman,School of Management and Labor Relations,1,1,['MS' 'MH' 'SA'],Apartment,8000-11000,10000,[383048890],35,36070,0
Julie Love,F,288427367,2000-03-12,Freshman,School of Management and Labor Relations,1,1,['BS' 'RA' 'MZH'],Apartment,8000-11000,10000,[],35,36492,0
Johnny White,M,404167352,2002-07-24,Freshman,Rutgers Business School–Newark and New Brunswick,1,1,['BS' 'SA' 'WS'],Apartment,8000-11000,10000,"[959703622, 432525701]",35,36830,0
