name,sex,RUID,date_of_birth,student_year,student_school,accessibility_need,low_income_status,preferred_hall_ids,preferred_residence_type,preferred_price_range,max_price,roommate_preferences,weights,lottery_number,assigned
Courtney Bradley,F,110826757,2002-04-09,Freshman,School of Communication and Information,1,1,['SA' 'MRS' 'MS'],Suite,6000-8000,7000,"[215309780, 998514031]",35,298,0
Amanda Valdez,F,727910793,2000-09-17,Freshman,School of Communication and Information,1,1,['RA' 'BS' 'MS'],Apartment,6000-8000,7000,[],35,441,0
Shelly Miller,F,215980676,2001-04-15,Freshman,School of Social Work,1,1,['NCA' 'BS' 'MH'],Traditional Residence Hall,4000-6000,5000,[978217050],35,547,0
Thomas Daniels,M,515074443,1999-11-08,Freshman,School of Communication and Information,1,1,['SA' 'NCA' 'BS'],Suite,4000-6000,5000,"[764785350, 322786474]",35,810,0
Marc Brown,M,814916376,2003-04-01,Freshman,School of Management and Labor Relations,1,1,['AH' 'SA' 'MRS'],Suite,4000-6000,5000,"[140546975, 147201305]",35,852,0
Jennifer Moody,F,729888000,2002-11-04,Freshman,School of Engineering,1,1,['SA' 'MH' 'BS'],Traditional Residence Hall,4000-6000,5000,[691915334],35,888,0
Sherri Smith,F,551852886,2002-03-17,Freshman,Mason Gross School of the Arts,1,1,['SA' 'MS' 'RA'],Suite,8000-11000,10000,"[480711494, 552247231]",35,1226,0
Paula Hernandez DDS,F,913922528,2003-03-14,Freshman,School of Arts and Sciences,1,1,['WS' 'NCA' 'RA'],Suite,4000-6000,5000,[462024274],35,1730,0
Bradley Peck,M,158185009,2002-01-07,Freshman,Mason Gross School of the Arts,1,1,['BS' 'RA' 'WS'],Apartment,4000-6000,5000,"[536413979, 843673543]",35,1814,0
Marie Smith,F,857542321,2004-07-10,Freshman,School of Communication and Information,1,1,['RA' 'SA' 'NCA'],Apartment,8000-11000,10000,"[321250160, 694204982]",35,3401,0
Vanessa Carrillo,F,110322866,2002-11-26,Freshman,School of Arts and Sciences,1,1,['TS' 'MZH' 'RA'],Traditional Residence Hall,6000-8000,7000,"[114942167, 594262393]",35,3476,0
James Martin,M,692225359,2000-05-24,Freshman,School of Arts and Sciences,1,1,['MRS' 'SA' 'BS'],Suite,4000-6000,5000,"[494246013, 344112668]",35,3526,0
Alyssa Harper,F,105741775,2003-06-18,Freshman,Mason Gross School of the Arts,1,1,['RA' 'SA' 'BS'],Apartment,4000-6000,5000,[522213041],35,3558,0
Brandy Barron,F,712720272,2002-01-23,Freshman,School of Arts and Sciences,1,1,['MRS' 'JS' 'AH'],Suite,4000-6000,5000,"[333226584, 629694106]",35,5544,0
Heather Greene,F,910602632,2002-10-23,Freshman,School of Communication and Information,1,1,['MZH' 'AH' 'BS'],Suite,8000-11000,10000,[],35,5733,0
Timothy Moore,M,771865686,2002-03-23,Freshman,School of Communication and Information,1,1,['WS' 'AH' 'BS'],Suite,6000-8000,7000,"[235442758, 366536272]",35,6784,0
Madeline Camacho,F,366261417,2003-01-22,Freshman,School of Management and Labor Relations,1,1,['BS' 'CS' 'MZH'],Apartment,6000-8000,7000,[],35,7276,0
Nicholas Vaughn,M,663676576,2004-06-05,Freshman,Mason Gross School of the Arts,1,1,['MH' 'BS' 'MZH'],Suite,6000-8000,7000,[645261381],35,7528,0
Ellen Newton,F,436117745,2001-04-20,Freshman,School of Arts and Sciences,1,1,['BS' 'NCA' 'MZH'],Apartment,4000-6000,5000,"[286763636, 117749596]",35,7668,0
Rhonda Garcia,F,140003907,2003-08-24,Freshman,School of Arts and Sciences,1,1,['SA' 'NCA' 'BS'],Suite,6000-8000,7000,"[965800237, 315594960]",35,8431,0
Johnny White,M,404167352,2002-07-24,Freshman,Rutgers Business School–Newark and New Brunswick,1,1,['BS' 'SA' 'WS'],Apartment,8000-11000,10000,"[959703622, 432525701]",35,10141,0
Holly Rowe,F,407989608,2002-12-17,Freshman,School of Management and Labor Relations,1,1,['SA' 'MS' 'MZH'],Apartment,4000-6000,5000,"[466688989, 918585317]",35,11753,0
John Fernandez,M,947968802,2003-03-14,Freshman,Mason Gross School of the Arts,1,1,['SA' 'AH' 'BS'],Suite,8000-11000,10000,"[720354579, 449155344]",35,14725,0
Julia Williams,F,219170583,2001-05-20,Freshman,School of Environmental and Biological Sciences,1,1,['BS' 'SA' 'JS'],Suite,6000-8000,7000,"[318471971, 256769107]",35,16279,0
Stacey Reid,F,895557022,2004-06-09,Freshman,Rutgers Business School–Newark and New Brunswick,1,1,['TS' 'BS' 'JS'],Traditional Residence Hall,8000-11000,10000,[],35,16981,0
Patricia Lee,F,795454595,2004-12-16,Freshman,School of Arts and Sciences,1,1,['NCA' 'BS' 'JS'],Suite,4000-6000,5000,"[555016423, 154722229]",35,18389,0
Eric Newton,M,370808798,2001-08-20,Freshman,School of Arts and Sciences,1,1,['SA' 'CS' 'BS'],Suite,4000-6000,5000,[573698372],35,18436,0
Russell Floyd,M,117525509,2004-01-02,Freshman,School of Arts and Sciences,1,1,['JS' 'MS' 'NCA'],Suite,8000-11000,10000,[955956086],35,18462,0
Jennifer Miller,F,636628235,2005-03-20,Freshman,School of Arts and Sciences,1,1,['BH' 'SA' 'MRS'],Suite,8000-11000,10000,[196779893],35,19537,0
Elizabeth Crawford,F,992416681,2000-05-26,Freshman,School of Arts and Sciences,1,1,['TS' 'RA' 'NCA'],Suite,4000-6000,5000,"[231932467, 498336087]",35,19582,0
Sara Kelley,F,355414944,2002-04-26,Freshman,School of Arts and Sciences,1,1,['BH' 'BS' 'JS'],Apartment,6000-8000,7000,[313477735],35,19733,0
Colton Orr,M,765060458,2001-01-11,Freshman,School of Communication and Information,1,1,['CS' 'MZH' 'TS'],Suite,8000-11000,10000,"[140832173, 753403239]",35,19872,0
